count,detect_count,time,response,tag_velK,anzenK,uv_velK,bbox_lefttop_x,bbox_lefttop_y,bbox_rightbottom_x,bbox_rightbottom_y,pure_bbox_lefttop_x,pure_bbox_lefttop_y,pure_bbox_rightbottom_x,pure_bbox_rightbottom_y,episode,reward
122,120,10.536561250686646,0.06957530975341797,1.0,1.6158973429220826,99.80954605507662,0.0,0.0,420.9616246131922,720.0,352.59084947845554,215.98372601278777,404.8641355993575,268.0082685096736,3,-360.5674546797398
123,121,10.666005849838257,0.12948918342590332,1.0,1.6158973429220826,99.80954605507662,0.0,150.52065649362916,419.8799003372944,333.54804674217905,351.82371191794607,216.1095189442233,403.8564788791498,267.95918429158496,3,-359.67020550195696
124,122,10.730782985687256,0.06476354598999023,1.0,1.6158973429220826,99.80954605507662,0.0,0.0,362.0830277524725,720.0,289.1472680930369,213.557830279348,344.9107405066469,269.16300178562335,3,-356.15960261126327
125,123,10.844674110412598,0.11390399932861328,1.0,1.6158973429220826,99.80954605507662,0.0,160.0829134331405,358.35600508156347,322.5858236920792,285.38820542934457,213.4683550415288,341.17617421156774,269.2003820836909,3,-354.9702124830626
126,124,10.879022598266602,0.03433394432067871,1.0,1.6158973429220826,99.80954605507662,0.0,110.69524324829266,354.7453528478942,371.85060566425364,281.6028612148125,213.3851271964188,337.5243917985608,269.1607217161275,3,-349.63109399826334
127,125,10.949683666229248,0.07060766220092773,1.0,1.6158973429220826,99.80954605507662,0.0,57.734539575332576,351.11927820159593,424.6146201483265,277.2684464838384,213.05582873535047,333.73154272695217,269.2933309883086,3,-346.26436937682246
128,126,11.02136492729187,0.07175064086914062,1.0,1.6158973429220826,99.80954605507662,0.0,0.0,331.95828669371537,504.9993020565895,256.6000345693848,212.33295962824383,314.21563812372904,269.7122122016311,3,-343.7993978591654
129,127,11.060578107833862,0.03921794891357422,1.0,1.6158973429220826,99.80954605507662,0.0,0.0,318.5689025946242,584.7542047944521,242.61674975065205,211.8278319680631,300.6864236615785,269.8066241742835,3,-341.82733519849563
130,128,11.198299407958984,0.13771796226501465,1.0,1.6158973429220826,99.80954605507662,0.0,113.05324314589923,311.353436434842,368.46930732715106,235.24214785171412,211.79078442878384,293.4334899462842,269.73176604426646,3,-340.01998705025295
131,129,11.260192394256592,0.061896562576293945,1.0,1.6158973429220826,99.80954605507662,0.0,168.8163398897048,313.5258829947173,312.7407671111668,237.65073478533884,211.7400478583129,295.6615343411213,269.8170591425587,3,-335.7802165337428
